bank_name,tenure,gen_rate,annualised_gen_rate,sr_rate,annualised_sr_rate,super_sr_rate,annualised_super_sr_rate,threshold_amt
Capital Small Finance Bank,600 Days,7.40%,,7.90%,,,,30000000
Capital Small Finance Bank,900 Days,7.30%,,7.80%,,,,30000000
Capital Small Finance Bank,5 years,7.10%,,7.6%,,,,30000000
Suryoday Bank,7 days to 14 days,4.00%,4.00%,4.50%,4.50%,,,30000000
Suryoday Bank,15 days to 45 days,4.25%,4.25%,4.75%,4.75%,,,30000000
Suryoday Bank,46 days to 90 days,4.50%,4.50%,5.00%,5.00%,,,30000000
Suryoday Bank,91 days to 6 months,5.00%,5.00%,5.50%,5.50%,,,30000000
Suryoday Bank,6 Month 1 Day,7.25%,7.45%,7.75%,7.98%,,,30000000
Suryoday Bank,Above 6 Month 1 Day to 9 Months,5.50%,5.61%,6.00%,6.14%,,,30000000
Suryoday Bank,Above 9 months to less than 1 Year,6.00%,6.14%,6.50%,6.66%,,,30000000
Suryoday Bank,1 Year*,6.85%,7.03%,7.35%,7.56%,,,30000000
Suryoday Bank,Above 1 Year upto 15 months,8.25%,8.51%,8.75%,9.04%,,,30000000
Suryoday Bank,Above 15 months to 2 years,8.50%,8.77%,9.00%,9.31%,,,30000000
Suryoday Bank,Above 2 Years to 2 years 1 Day,8.60%,8.88%,9.10%,9.42%,,,30000000
Suryoday Bank,2 Years  2 Days,8.65%,8.93%,9.10%,9.42%,,,30000000
Suryoday Bank,2 years 3 Days up to 3 Years,8.60%,8.88%,9.10%,9.42%,,,30000000
Suryoday Bank,Above 3 Years to less than 5 Years,6.75%,6.92%,7.25%,7.45%,,,30000000
Suryoday Bank,5 Years,8.25%,8.51%,8.75%,9.04%,,,30000000
Suryoday Bank,Above 5 years to 10 years,7.25%,7.45%,7.75%,7.98%,,,30000000
Ujjivan Small Finance Bank,7 days to 29 days,3.75%,,,,,,30000000
Ujjivan Small Finance Bank,30 days to 89 days,4.25%,,,,,,30000000
Ujjivan Small Finance Bank,90 days to 179 days,4.75%,,,,,,30000000
Ujjivan Small Finance Bank,6 months to < 9 months,7.00%,,,,,,30000000
Ujjivan Small Finance Bank,9 months,7.50%,,,,,,30000000
Ujjivan Small Finance Bank,9 months 1 day to <12 months,7.00%,,,,,,30000000
Ujjivan Small Finance Bank,12 months,8.25%,,,,,,30000000
Ujjivan Small Finance Bank,12 months 1 day  to 560 days(80 weeks),8.00%,,,,,,30000000
Ujjivan Small Finance Bank,561 days to 990 days,7.75%,,,,,,30000000
Ujjivan Small Finance Bank,991 days to 60 months,7.20%,,,,,,30000000
Ujjivan Small Finance Bank,60 months 1 day to 120 months,6.50%,,,,,,30000000
Utkarsh Small Finance Bank,7 Days to 45 Days,4.00%,,4.60%,,,,30000000
Utkarsh Small Finance Bank,46 Days to 90 Days,4.75%,,5.35%,,,,30000000
Utkarsh Small Finance Bank,91 Days to 180 Days,5.50%,,6.10%,,,,30000000
Utkarsh Small Finance Bank,181 Days to 364 Days,6.50%,,7.10%,,,,30000000
Utkarsh Small Finance Bank,365 Days to 699 Days,8.00%,,8.60%,,,,30000000
Utkarsh Small Finance Bank,700 Days to less than 2 Years,8.25%,,8.85%,,,,30000000
Utkarsh Small Finance Bank,2 Years upto 3 Years,8.50%,,9.10%,,,,30000000
